,RegionName,State_x,Date,Price,County,State_y,Housing Inventory,State,UnemploymentRate
272,Tehama County,CA,2018-05,236530,Tehama County,CA,416,CA,5.1
273,Tuolumne County,CA,2018-05,,Tuolumne County,CA,615,CA,4.1
274,San Benito County,CA,2018-05,587968,,,,CA,4.7
275,Calaveras County,CA,2018-05,318697,,,,CA,3.5
276,Siskiyou County,CA,2018-05,213560,,,,CA,5.6
277,Amador County,CA,2018-05,317719,,,,CA,3.5
278,Lassen County,CA,2018-05,174350,,,,CA,4.1
279,Del Norte County,CA,2018-05,257970,,,,CA,4.8
280,Glenn County,CA,2018-05,243214,,,,CA,5.9
281,Colusa County,CA,2018-05,244862,,,,CA,11
282,Plumas County,CA,2018-05,275563,,,,CA,6.4
283,Inyo County,CA,2018-05,355959,,,,CA,3.4
284,Mariposa County,CA,2018-05,295210,,,,CA,4.4
285,Mono County,CA,2018-05,453083,,,,CA,3.9
286,Trinity County,CA,2018-05,289841,,,,CA,5.2
287,Modoc County,CA,2018-05,135702,,,,CA,6.3
288,Sierra County,CA,2018-05,241329,,,,CA,4.9
289,Alpine County,CA,2018-05,407065,,,,CA,5.3
290,Los Angeles County,CA,2018-06,627566,Los Angeles County,CA,20289,CA,4.8
291,San Diego County,CA,2018-06,585876,San Diego County,CA,6730,CA,3.6
292,Orange County,CA,2018-06,741162,Orange County,CA,8188,CA,3.2
293,Riverside County,CA,2018-06,383181,Riverside County,CA,10967,CA,4.7
294,San Bernardino County,CA,2018-06,341265,San Bernardino County,CA,9866,CA,4.5
295,Santa Clara County,CA,2018-06,1367097,Santa Clara County,CA,2875,CA,2.9
296,Alameda County,CA,2018-06,907489,Alameda County,CA,1420,CA,3.3
297,Sacramento County,CA,2018-06,370961,Sacramento County,CA,5182,CA,4.1
298,Contra Costa County,CA,2018-06,698079,Contra Costa County,CA,3471,CA,3.5
299,Fresno County,CA,2018-06,256879,Fresno County,CA,2197,CA,7.5
300,Kern County,CA,2018-06,219019,Kern County,CA,3226,CA,8.5
301,Ventura County,CA,2018-06,604904,Ventura County,CA,3060,CA,3.9
302,San Francisco County,CA,2018-06,1416590,San Francisco County,CA,1167,CA,2.6
303,San Mateo County,CA,2018-06,1449881,San Mateo County,CA,1190,CA,2.5
304,San Joaquin County,CA,2018-06,365604,San Joaquin County,CA,2436,CA,6.2
305,Stanislaus County,CA,2018-06,311979,Stanislaus County,CA,1824,CA,7
306,Sonoma County,CA,2018-06,672805,Sonoma County,CA,1271,CA,3
307,Tulare County,CA,2018-06,218049,Tulare County,CA,1674,CA,9.6
308,Santa Barbara County,CA,2018-06,628649,Santa Barbara County,CA,1808,CA,3.8
309,Monterey County,CA,2018-06,570157,Monterey County,CA,1110,CA,5.1
310,Solano County,CA,2018-06,438556,Solano County,CA,1006,CA,4.1
311,Placer County,CA,2018-06,499616,Placer County,CA,2381,CA,3.4
312,San Luis Obispo County,CA,2018-06,617667,San Luis Obispo County,CA,1177,CA,3.2
313,Santa Cruz County,CA,2018-06,884327,Santa Cruz County,CA,747,CA,4.5
314,Merced County,CA,2018-06,263558,Merced County,CA,1011,CA,8.6
315,Marin County,CA,2018-06,1185614,Marin County,CA,614,CA,2.7
316,Butte County,CA,2018-06,298913,Butte County,CA,801,CA,5.3
317,Yolo County,CA,2018-06,459993,Yolo County,CA,544,CA,4.3
318,El Dorado County,CA,2018-06,467478,El Dorado County,CA,1648,CA,3.8
319,Shasta County,CA,2018-06,264566,Shasta County,CA,849,CA,5
320,Imperial County,CA,2018-06,211548,Imperial County,CA,317,CA,18.8
321,Kings County,CA,2018-06,219723,Kings County,CA,481,CA,8.2
322,Madera County,CA,2018-06,270389,Madera County,CA,919,CA,7.2
323,Napa County,CA,2018-06,689641,Napa County,CA,488,CA,2.9
324,Humboldt County,CA,2018-06,324733,Humboldt County,CA,516,CA,3.9
325,Nevada County,CA,2018-06,466397,Nevada County,CA,1386,CA,3.7
326,Sutter County,CA,2018-06,297344,Sutter County,CA,388,CA,7.3
327,Mendocino County,CA,2018-06,418953,Mendocino County,CA,665,CA,4
328,Yuba County,CA,2018-06,267442,Yuba County,CA,525,CA,6.5
329,Lake County,CA,2018-06,249079,Lake County,CA,804,CA,5.2
330,Tehama County,CA,2018-06,243708,Tehama County,CA,427,CA,5.9
331,Tuolumne County,CA,2018-06,,Tuolumne County,CA,666,CA,4.7
332,San Benito County,CA,2018-06,594810,,,,CA,5.1
333,Calaveras County,CA,2018-06,319812,,,,CA,4.1
334,Siskiyou County,CA,2018-06,214662,,,,CA,6.1
335,Amador County,CA,2018-06,319483,,,,CA,4.1
336,Lassen County,CA,2018-06,175267,,,,CA,4.7
337,Del Norte County,CA,2018-06,259229,,,,CA,5.5
338,Glenn County,CA,2018-06,244444,,,,CA,6.8
339,Colusa County,CA,2018-06,246384,,,,CA,11.4
340,Plumas County,CA,2018-06,277644,,,,CA,6.2
341,Inyo County,CA,2018-06,357208,,,,CA,3.8
